id;time;iter;thr;nproc
342;0.158585;100;1;2
343;0.143381;100;1;2
344;0.150889;100;1;2
345;0.097082;100;1;2
346;0.093615;100;1;2
347;0.092883;100;1;2
348;0.091333;100;1;2
349;0.103519;100;1;2
350;0.096280;100;1;2
351;0.101716;100;1;2
352;0.095950;100;1;2
353;0.092364;100;1;2
354;0.098192;100;1;2
355;0.093805;100;1;2
356;0.094587;100;1;2
357;0.108949;100;1;2
358;0.143531;100;1;2
359;0.122935;100;1;2
360;0.315743;100;1;2
361;0.092078;100;1;2
362;0.111534;100;1;2
363;0.100651;100;1;2
364;0.096980;100;1;2
365;0.092598;100;1;2
366;0.111421;100;1;2
367;0.111227;100;1;2
368;0.102412;100;1;2
369;0.113961;100;1;2
370;0.099161;100;1;2
371;0.103584;100;1;2
372;0.094964;100;1;2
373;0.092917;100;1;2
374;0.095335;100;1;2
375;0.102657;100;1;2
376;0.093715;100;1;2
377;0.104153;100;1;2
378;0.126048;1000;1;2
379;0.129938;1000;1;2
380;0.114716;1000;1;2
381;0.113461;1000;1;2
382;0.127645;1000;1;2
383;0.115522;1000;1;2
384;0.116196;1000;1;2
385;0.115579;1000;1;2
386;0.118970;1000;1;2
387;0.116452;1000;1;2
388;0.117460;1000;1;2
389;0.117757;1000;1;2
390;0.114806;1000;1;2
391;0.117676;1000;1;2
392;0.118588;1000;1;2
393;0.116746;1000;1;2
394;0.114072;1000;1;2
395;0.116185;1000;1;2
396;0.115261;1000;1;2
397;0.117796;1000;1;2
398;0.114849;1000;1;2
399;0.114129;1000;1;2
400;0.119951;1000;1;2
401;0.113022;1000;1;2
402;0.114773;1000;1;2
403;0.113199;1000;1;2
404;0.119002;1000;1;2
405;0.114569;1000;1;2
406;0.114417;1000;1;2
407;0.119441;1000;1;2
408;0.112680;1000;1;2
409;0.113172;1000;1;2
410;0.114077;1000;1;2
411;0.112736;1000;1;2
412;0.120484;1000;1;2
413;0.115825;1000;1;2
414;0.117208;1000;1;2
415;0.128948;1000;1;2
416;0.121694;1000;1;2
417;0.117355;1000;1;2
418;0.117788;1000;1;2
419;0.122088;1000;1;2
420;0.115746;1000;1;2
421;0.123307;1000;1;2
422;0.114268;1000;1;2
423;0.117579;1000;1;2
424;0.114667;1000;1;2
425;0.113011;1000;1;2
426;0.115063;1000;1;2
427;0.115379;1000;1;2
428;0.119441;1000;1;2
429;0.114380;1000;1;2
430;0.115920;1000;1;2
431;0.114214;1000;1;2
432;0.114867;1000;1;2
433;0.113856;1000;1;2
434;0.115050;1000;1;2
435;0.113604;1000;1;2
436;0.113763;1000;1;2
437;0.113444;1000;1;2
438;0.129375;1000;1;2
439;0.200756;1000;1;2
440;0.162363;1000;1;2
441;0.242900;1000;1;2
442;0.145593;1000;1;2
443;0.200726;1000;1;2
444;0.203168;1000;1;2
445;0.211281;1000;1;2
446;0.162819;1000;1;2
447;0.302344;1000;1;2
448;0.195690;1000;1;2
449;0.139195;1000;1;2
450;0.184708;1000;1;2
451;0.344698;1000;1;2
452;0.333259;1000;1;2
453;0.242134;1000;1;2
454;0.156164;1000;1;2
455;0.173631;1000;1;2
456;0.174011;1000;1;2
457;0.157604;1000;1;2
458;0.165601;1000;1;2
459;0.160642;1000;1;2
460;0.145078;1000;1;2
461;0.167963;1000;1;2
462;0.186681;1000;1;2
463;0.144803;1000;1;2
464;0.142559;1000;1;2
465;0.229097;1000;1;2
466;0.162209;1000;1;2
467;0.186456;1000;1;2
468;0.183201;1000;1;2
469;0.209299;1000;1;2
470;0.160470;1000;1;2
471;0.425815;1000;1;2
472;0.166051;1000;1;2
473;0.228678;1000;1;2
474;0.174900;1000;1;2
475;0.153260;1000;1;2
476;0.127557;1000;1;2
477;0.125582;1000;1;2
478;0.128865;1000;10;2
479;0.123412;1000;10;2
480;0.111827;1000;10;2
481;0.133723;1000;10;2
482;0.133773;1000;10;2
483;0.388319;1000;10;2
484;0.109730;1000;10;2
485;0.110968;1000;10;2
486;0.291147;1000;10;2
487;0.107935;1000;10;2
488;0.239498;1000;10;2
489;0.110586;1000;10;2
490;0.193076;1000;10;2
491;0.395063;1000;10;2
492;0.164176;1000;10;2
493;0.114191;1000;10;2
494;0.156798;1000;10;2
495;0.127926;1000;10;2
496;0.311910;1000;10;2
497;0.121293;1000;10;2
498;0.118959;1000;10;2
499;0.174404;1000;10;2
500;0.182557;1000;10;2
501;0.124507;1000;10;2
502;0.135767;1000;10;2
503;0.170359;1000;10;2
504;0.152447;1000;10;2
505;0.286832;1000;10;2
506;0.218348;1000;10;2
507;0.221174;1000;10;2
508;0.113101;1000;10;2
509;0.154030;1000;10;2
510;0.111537;1000;10;2
511;0.117788;1000;10;2
512;0.115796;1000;10;2
513;0.112283;1000;10;2
514;0.112190;1000;10;2
515;0.116738;1000;10;2
516;0.137381;1000;10;2
517;0.111623;1000;10;2
518;0.113378;1000;10;2
519;0.122375;1000;10;2
520;0.117329;1000;10;2
521;0.107373;1000;10;2
522;0.111417;1000;10;2
523;0.158639;1000;10;2
524;0.395673;1000;10;2
525;0.334162;1000;10;2
526;0.141764;1000;10;2
527;0.250044;1000;10;2
528;0.054754;1000;10;1
529;0.049566;1000;10;1
530;0.051449;1000;10;1
531;0.051961;1000;10;1
532;0.054269;1000;10;1
533;0.052683;1000;10;1
534;0.059364;1000;10;1
535;0.049346;1000;10;1
536;0.055531;1000;10;1
537;0.055656;1000;10;1
538;0.056310;1000;10;1
539;0.052755;1000;10;1
540;0.052849;1000;10;1
541;0.049949;1000;10;1
542;0.061174;1000;10;1
543;0.215146;1000;10;1
544;0.051052;1000;10;1
545;0.050064;1000;10;1
546;0.056128;1000;10;1
547;0.051478;1000;10;1
548;0.051528;1000;10;1
549;0.058332;1000;10;1
550;0.057176;1000;10;1
551;0.051990;1000;10;1
552;0.059930;1000;10;1
553;0.051010;1000;10;1
554;0.069482;1000;10;1
555;0.065799;1000;10;1
556;0.051169;1000;10;1
557;0.053516;1000;10;1
558;0.052425;1000;10;1
559;0.055527;1000;10;1
560;0.053296;1000;10;1
561;0.056336;1000;10;1
562;0.050995;1000;10;1
563;0.055212;1000;10;1
564;0.060845;1000;10;1
565;0.053024;1000;10;1
566;0.050576;1000;10;1
567;0.051035;1000;10;1
568;0.050900;1000;10;1
569;0.058714;1000;10;1
570;0.053970;1000;10;1
571;0.052602;1000;10;1
572;0.220762;1000;10;1
573;0.052942;1000;10;1
574;0.053061;1000;10;1
575;0.052721;1000;10;1
